content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
"ngirim berkas aja masih ada yg salah suruh ngirim lagi, bikin ribet gk kaya sekuritas lain",2,"ngirim berkas aja masih ada yg salah suruh ngirim lagi, bikin ribet gk kaya sekuritas lain",ngirim berkas aja masih ada yg salah suruh ngirim lagi bikin ribet gk kaya sekuritas lain,mengirim berkas saja masih ada yang salah suruh mengirim lagi bikin ribet tidak kayak sekuritas lain,mengirim berkas salah suruh mengirim bikin ribet tidak kayak sekuritas,mengirim berkas salah suruh mengirim bikin ribet kayak sekuritas,kirim berkas salah suruh kirim bikin ribet tidak kayak sekuritas,neg,0
"Buka menu search, scroll ke bawah lgsg force close. Tolong perbaiki",3,"buka menu search, scroll ke bawah lgsg force close. tolong perbaiki",buka menu search scroll ke bawah lgsg force close tolong perbaiki,buka menu cari scroll ke bawah langsung force close tolong perbaiki,buka menu cari scroll langsung force close tolong perbaiki,buka menu cari scroll langsung force close tolong perbaiki,buka menu cari scroll langsung force close tolong baik,neg,0
sementara 3 dulu saran kalau bisa pakai bahasa indonesia,3,sementara 3 dulu saran kalau bisa pakai bahasa indonesia,sementara dulu saran kalau bisa pakai bahasa indonesia,sementara dulu saran kalau bisa pakai bahasa indonesia,saran pakai bahasa indonesia,saran pakai bahasa indonesia,saran pakai bahasa indonesia,neg,1
"Sering error saat login, harap diperbaiki",1,"sering error saat login, harap diperbaiki",sering error saat login harap diperbaiki,sering error saat login harap diperbaiki,error login harap diperbaiki,error login harap diperbaiki,error login harap baik,neg,0
Disini bisa buka account real? Kalo mau deposit minimal brapa ? Kok tadi sy mau coba account demo knapa gabisa,2,disini bisa buka account real? kalo mau deposit minimal brapa ? kok tadi sy mau coba account demo knapa gabisa,disini bisa buka account real kalo mau deposit minimal brapa kok tadi sy mau coba account demo knapa gabisa,di sini bisa buka account real kalau mau deposit minimal berapa kok tadi saya mau coba account demo kenapa tidak bisa,buka account real deposit minimal coba account demo tidak,buka account real deposit minimal coba account demo,buka account real deposit minimal coba account demo tidak,neg,2
Maaf saya kasih bintang 1 dulu karena saya buat rekening rdn dari awal bulan November sampai sekarang belum selesai. Saya tanya terus memang belum jadi. Apakah selama itu pembuatan rdn di stockbit? Terima kasih,1,maaf saya kasih bintang 1 dulu karena saya buat rekening rdn dari awal bulan november sampai sekarang belum selesai. saya tanya terus memang belum jadi. apakah selama itu pembuatan rdn di stockbit? terima kasih,maaf saya kasih bintang dulu karena saya buat rekening rdn dari awal bulan november sampai sekarang belum selesai saya tanya terus memang belum jadi apakah selama itu pembuatan rdn di stockbit terima kasih,maaf saya kasih bintang dulu karena saya buat rekening rdn dari awal bulan november sampai sekarang belum selesai saya tanya terus memang belum jadi apakah selama itu pembuatan rdn di stockbit terima kasih,maaf kasih bintang rekening rdn november belum selesai belum pembuatan rdn stockbit terima kasih,maaf kasih bintang rekening rdn november selesai pembuatan rdn stockbit terima kasih,maaf kasih bintang rekening rdn november belum selesai belum buat rdn stockbit terima kasih,neg,5
"Open market jam 9 lemot banget aplikasinya, mohon diperbaiki",1,"open market jam 9 lemot banget aplikasinya, mohon diperbaiki",open market jam lemot banget aplikasinya mohon diperbaiki,open market jam lambat banget aplikasinya mohon diperbaiki,open market jam lambat banget aplikasinya mohon diperbaiki,open market jam lambat banget aplikasinya mohon diperbaiki,open market jam lambat banget aplikasi mohon baik,neg,4
"Mohon di perbaiki, masa di saat jam rush gk bisa transaksi buy or sell,hadeh",2,"mohon di perbaiki, masa di saat jam rush gk bisa transaksi buy or sell,hadeh",mohon di perbaiki masa di saat jam rush gk bisa transaksi buy or sell hadeh,mohon di perbaiki masa di saat jam rush tidak bisa transaksi buy orang sell aduh,mohon perbaiki jam rush tidak transaksi buy orang sell aduh,mohon perbaiki jam rush transaksi buy orang sell aduh,mohon baik jam rush tidak transaksi buy orang sell aduh,neg,4
Lebih bagus lagi jika memiliki fitur auto order,3,lebih bagus lagi jika memiliki fitur auto order,lebih bagus lagi jika memiliki fitur auto order,lebih bagus lagi jika memiliki fitur auto order,bagus memiliki fitur auto order,bagus memiliki fitur auto order,bagus milik fitur auto order,neg,0
Wah payah ni apk gangguan terus. Cma mau mantau saham yg udah kebeli aj susah banget,1,wah payah ni apk gangguan terus. cma mau mantau saham yg udah kebeli aj susah banget,wah payah ni apk gangguan terus cma mau mantau saham yg udah kebeli aj susah banget,wah payah nih apakah gangguan terus cuma mau mantau saham yang sudah kebeli saja susah banget,payah nih gangguan mantau saham kebeli susah banget,payah nih gangguan mantau saham kebeli susah banget,payah nih ganggu mantau saham kebel susah banget,neg,4
"kadang suka ada masalah gabisa login akun google, bikin jadi telat jual saham 👎",1,"kadang suka ada masalah gabisa login akun google, bikin jadi telat jual saham 👎",kadang suka ada masalah gabisa login akun google bikin jadi telat jual saham,kadang suka ada masalah tidak bisa login akun google bikin jadi terlambat jual saham,kadang suka tidak login akun google bikin terlambat jual saham,kadang suka login akun google bikin terlambat jual saham,kadang suka tidak login akun google bikin lambat jual saham,neg,4
APLIKASI SAMPAH. KODE VERIFIKASI VA SMS GA MASUK2. UDH DITUNGGUIN LAMA. SEMOGA PERUSAHAANNYA HANCUR TAHUN INI JUGA...!!!,1,aplikasi sampah. kode verifikasi va sms ga masuk2. udh ditungguin lama. semoga perusahaannya hancur tahun ini juga...!!!,aplikasi sampah kode verifikasi va sms ga masuk udh ditungguin lama semoga perusahaannya hancur tahun ini juga,aplikasi sampah kode verifikasi va sms tidak masuk sudah ditunggu lama semoga perusahaannya hancur tahun ini juga,aplikasi sampah kode verifikasi va sms tidak masuk ditunggu semoga perusahaannya hancur,aplikasi sampah kode verifikasi va sms masuk ditunggu semoga perusahaannya hancur,aplikasi sampah kode verifikasi va sms tidak masuk tunggu moga usaha hancur,neg,0
"Ribet mau daftar investasi jga harus Poto wajah dengan KTP dan Poto KTP nya, sampe nama perusahaan dan gaji nya pun harus di cantumkan jga belum lgi nunggu konfirmasi yg lama, ini apk investasi apa apk pinjol",1,"ribet mau daftar investasi jga harus poto wajah dengan ktp dan poto ktp nya, sampe nama perusahaan dan gaji nya pun harus di cantumkan jga belum lgi nunggu konfirmasi yg lama, ini apk investasi apa apk pinjol",ribet mau daftar investasi jga harus poto wajah dengan ktp dan poto ktp nya sampe nama perusahaan dan gaji nya pun harus di cantumkan jga belum lgi nunggu konfirmasi yg lama ini apk investasi apa apk pinjol,ribet mau daftar investasi juga harus foto wajah dengan kartu tanda penduduk dan foto kartu tanda penduduk nya sampai nama perusahaan dan gaji nya pun harus di cantumkan juga belum lagi menunggu konfirmasi yang lama ini apakah investasi apa apakah pinjol,ribet daftar investasi foto wajah kartu tanda penduduk foto kartu tanda penduduk nama perusahaan gaji cantumkan belum menunggu konfirmasi investasi pinjol,ribet daftar investasi foto wajah kartu tanda penduduk foto kartu tanda penduduk nama perusahaan gaji cantumkan menunggu konfirmasi investasi pinjol,ribet daftar investasi foto wajah kartu tanda duduk foto kartu tanda duduk nama usaha gaji cantum belum tunggu konfirmasi investasi pinjol,neg,3
"Lambat, susah login trading, sering gangguan terutama opening sampe sesi 1",2,"lambat, susah login trading, sering gangguan terutama opening sampe sesi 1",lambat susah login trading sering gangguan terutama opening sampe sesi,lambat susah login trading sering gangguan terutama opening sampai sesi,lambat susah login trading gangguan opening sesi,lambat susah login trading gangguan opening sesi,lambat susah login trading ganggu opening sesi,neg,4
"Tiap awal buka marker selalu eror, mohon perbaikannya",1,"tiap awal buka marker selalu eror, mohon perbaikannya",tiap awal buka marker selalu eror mohon perbaikannya,tiap awal buka marker selalu eror mohon perbaikannya,buka marker eror mohon perbaikannya,buka marker eror mohon perbaikannya,buka marker eror mohon baik,neg,0
"Stockbit tiap hr melakukan maintenance trs,sdh bli saham,tp sdh 4 hr ga msk2,di cek di order,sdh ga ada,tp dana ga tau kemn....,lbh bgs mirae drpd stocbit,",1,"stockbit tiap hr melakukan maintenance trs,sdh bli saham,tp sdh 4 hr ga msk2,di cek di order,sdh ga ada,tp dana ga tau kemn....,lbh bgs mirae drpd stocbit,",stockbit tiap hr melakukan maintenance trs sdh bli saham tp sdh hr ga msk di cek di order sdh ga ada tp dana ga tau kemn lbh bgs mirae drpd stocbit,stockbit tiap hari melakukan maintenance terus sudah beli saham tetapi sudah hari tidak masuk di cek di order sudah tidak ada tetapi dana tidak tahu kemana lebih bagus mirae daripada stocbit,stockbit maintenance beli saham tidak masuk cek order tidak dana tidak kemana bagus mirae stocbit,stockbit maintenance beli saham masuk cek order dana kemana bagus mirae stocbit,stockbit maintenance beli saham tidak masuk cek order tidak dana tidak mana bagus mirae stocbit,neg,2
Maintenancenya gak pilih2 jam. Dari malam ketemu malam maintenance terus.,1,maintenancenya gak pilih2 jam. dari malam ketemu malam maintenance terus.,maintenancenya gak pilih jam dari malam ketemu malam maintenance terus,maintenancenya tidak pilih jam dari malam ketemu malam maintenance terus,maintenancenya tidak pilih jam malam ketemu malam maintenance,maintenancenya pilih jam malam ketemu malam maintenance,maintenancenya tidak pilih jam malam ketemu malam maintenance,neg,7
"Berbenah dong masa sering banget error, apa lagi saat jam crusial buat trade. Mohon diperbaiki, jangan sampe krn hal begini orang2 pada pindah sekuritas lain.",2,"berbenah dong masa sering banget error, apa lagi saat jam crusial buat trade. mohon diperbaiki, jangan sampe krn hal begini orang2 pada pindah sekuritas lain.",berbenah dong masa sering banget error apa lagi saat jam crusial buat trade mohon diperbaiki jangan sampe krn hal begini orang pada pindah sekuritas lain,berbenah dong masa sering banget error apa lagi saat jam crusial buat trade mohon diperbaiki jangan sampai karena hal begini orang pada pindah sekuritas lain,berbenah banget error jam crusial trade mohon diperbaiki jangan orang pindah sekuritas,berbenah banget error jam crusial trade mohon diperbaiki orang pindah sekuritas,benah banget error jam crusial trade mohon baik jangan orang pindah sekuritas,neg,4
"Maintenance malah di waktu bursa saham berjalan, pdhal sore sampai pagi juga bisa atau hari libur jd tidak megsnggu. Gmn ini developernya",2,"maintenance malah di waktu bursa saham berjalan, pdhal sore sampai pagi juga bisa atau hari libur jd tidak megsnggu. gmn ini developernya",maintenance malah di waktu bursa saham berjalan pdhal sore sampai pagi juga bisa atau hari libur jd tidak megsnggu gmn ini developernya,maintenance bahkan di waktu bursa saham berjalan padahal sore sampai pagi juga bisa atau hari libur jadi tidak megsnggu bagaimana ini developernya,maintenance bursa saham berjalan sore pagi libur tidak megsnggu developernya,maintenance bursa saham berjalan sore pagi libur megsnggu developernya,maintenance bursa saham jalan sore pagi libur tidak megsnggu developer,neg,7
Kenapa ya saya gak diverifikasi2 semenjak saya memperbaiki tanda tangan saya..sudah satu hari lebih gak diverifikasi,3,kenapa ya saya gak diverifikasi2 semenjak saya memperbaiki tanda tangan saya..sudah satu hari lebih gak diverifikasi,kenapa ya saya gak diverifikasi semenjak saya memperbaiki tanda tangan saya sudah satu hari lebih gak diverifikasi,kenapa iya saya tidak diverifikasi semenjak saya memperbaiki tanda tangan saya sudah satu hari lebih tidak diverifikasi,iya tidak diverifikasi semenjak memperbaiki tanda tangan tidak diverifikasi,iya diverifikasi semenjak memperbaiki tanda tangan diverifikasi,iya tidak verifikasi semenjak baik tanda tangan tidak verifikasi,neg,0
"Saya tidak bisa membuat akun, selalu terpental ketika mengisi nomor telepon.",1,"saya tidak bisa membuat akun, selalu terpental ketika mengisi nomor telepon.",saya tidak bisa membuat akun selalu terpental ketika mengisi nomor telepon,saya tidak bisa membuat akun selalu terpental ketika mengisi nomor telepon,tidak akun terpental mengisi nomor telepon,akun terpental mengisi nomor telepon,tidak akun pental isi nomor telepon,neg,0
Proses penarikan lama !!! Udah zaman BI fast sekarang masih aja lelet,2,proses penarikan lama !!! udah zaman bi fast sekarang masih aja lelet,proses penarikan lama udah zaman bi fast sekarang masih aja lelet,proses penarikan lama sudah zaman bi fast sekarang masih saja lambat,proses penarikan zaman bi fast lambat,proses penarikan zaman bi fast lambat,proses tari zaman bi fast lambat,neg,6
Di jam bursa malah error dan maintenance berkepanjangan. Cabut saja dari SB. Ngga cocok buat traders.,1,di jam bursa malah error dan maintenance berkepanjangan. cabut saja dari sb. ngga cocok buat traders.,di jam bursa malah error dan maintenance berkepanjangan cabut saja dari sb ngga cocok buat traders,di jam bursa bahkan error dan maintenance berkepanjangan pergi saja dari sb tidak cocok buat traders,jam bursa error maintenance berkepanjangan pergi sb tidak cocok traders,jam bursa error maintenance berkepanjangan pergi sb cocok traders,jam bursa error maintenance panjang pergi sb tidak cocok traders,neg,7
"Lag banget, server server ga pernah di upgrade ato gmn sih",3,"lag banget, server server ga pernah di upgrade ato gmn sih",lag banget server server ga pernah di upgrade ato gmn sih,lag banget server server tidak pernah di peningkatan atau bagaimana sih,lag banget server server tidak peningkatan sih,lag banget server server peningkatan sih,lag banget server server tidak tingkat sih,neg,4
Update malah jd lelet. Harus restart lg. Gimana nih,1,update malah jd lelet. harus restart lg. gimana nih,update malah jd lelet harus restart lg gimana nih,pembaruan bahkan jadi lambat harus restart lagi bagaimana ini,pembaruan lambat restart,pembaruan lambat restart,baru lambat restart,neg,7
Aplikasi oke cuman kl deposit suka lama..ga otomatis,3,aplikasi oke cuman kl deposit suka lama..ga otomatis,aplikasi oke cuman kl deposit suka lama ga otomatis,aplikasi oke cuma kalau deposit suka lama tidak otomatis,aplikasi oke deposit suka tidak otomatis,aplikasi oke deposit suka otomatis,aplikasi oke deposit suka tidak otomatis,neg,6
pertahan kan servis nya.....jangan sampai terulang error pas jam bursa sedang on,3,pertahan kan servis nya.....jangan sampai terulang error pas jam bursa sedang on,pertahan kan servis nya jangan sampai terulang error pas jam bursa sedang on,pertahan kan servis nya jangan sampai terulang error pas jam bursa sedang on,pertahan servis jangan terulang error pas jam bursa on,pertahan servis terulang error pas jam bursa on,tahan servis jangan ulang error pas jam bursa on,neg,7
